Date,m_t,IBM,CSCO,AAPL,MSFT,ORCL,INTC,TXN,QCOM,AMAT,ADBE
2009-03-20,-182.70404,-0.13027,-1.1707678,-0.10557845,-0.36901915,-0.77607423,-1.4705249,-2.4845207,-0.84082454,-2.0584676,-1.6721163
2009-03-23,-152.3279,4.3043656,3.6367,2.7562265,4.781361,3.1449397,2.4099433,3.5899563,2.0006154,3.3712523,4.7226577
2009-03-24,-396.50708,-0.3061311,-1.0181179,-0.64546907,-1.5176831,-0.9285989,-1.5019789,-1.0780573,-1.0511593,-1.883896,-1.72619
2009-03-25,-382.56348,-0.26655787,-0.40226713,-0.10261884,-0.22894216,0.46545306,-0.2130494,-0.6830934,0.41331637,1.5298492,0.5469806
2009-03-26,-313.56186,0.53354895,2.419543,1.4691657,3.450168,1.5448523,2.4119103,2.6585436,1.069058,2.33747,1.7757661
2009-03-27,-256.73004,-3.2270153,-1.2317181,-1.4774362,-2.612812,-1.7964121,-1.137422,-0.7106611,-0.8276536,-1.5118773,-2.240327
2009-03-30,85.90449,0.24515182,-2.0270083,-1.2141677,-2.4122689,-0.9158662,-1.9493575,-1.9365529,-1.3568939,-2.177868,-1.9959606
2009-03-31,388.26645,1.4590474,1.1670263,0.16729401,2.8508325,0.95088655,0.79784167,0.20052291,0.98928005,0.25584698,1.0782315
2009-04-01,271.32147,0.45480612,1.8246626,1.4874754,2.979511,1.205374,-0.026410084,-0.7093435,0.7270808,-0.016156923,1.090684
2009-04-02,399.76245,1.8960613,1.6030617,1.305894,-0.11800336,0.52919763,1.6886698,0.5283095,1.4994954,2.17481,2.2779534
2009-04-03,42.320564,0.8882323,0.018910194,1.3457547,-1.9092373,1.1474668,0.61903775,1.3284746,-0.24585715,1.263428,1.6335624
2009-04-06,76.783325,-0.4276311,-1.8722585,0.96764326,-0.026504312,-0.3222442,-0.26864812,-1.2607943,-0.6919145,-0.9276781,-1.7096593
2009-04-07,274.48166,-1.7092454,-1.8478369,-1.4619874,-0.06047595,-1.3161551,-1.0729758,-0.41856447,-1.4427752,-3.539709,-0.3615956
2009-04-08,480.2325,1.3951421,0.6526418,0.30994105,1.230533,0.065562375,-0.46665174,1.0151641,0.7450024,0.61132544,1.5680097
2009-04-09,406.04736,0.30253628,1.652309,0.96281004,1.3808079,1.1796904,1.7591197,1.0613362,1.2876529,2.234764,1.5293072
2009-04-13,157.26956,-1.1036644,0.15859026,0.18585743,-0.318677,-0.12418529,-0.031928945,-0.20923856,-0.9191218,0.156229,-0.2146399
2009-04-14,306.31796,-0.4073463,0.0710818,-0.7935034,-0.8022278,-0.4314531,0.050050136,0.36834484,-0.1664781,0.7581667,-1.1165379
2009-04-15,338.29642,-0.24648187,-0.9487156,-0.31329492,-1.6822093,-0.63398546,-0.9979326,-0.8094205,0.016278366,-1.1101944,-0.57096094
2009-04-16,326.63867,1.5488245,1.2689149,1.3092097,2.8239532,1.3257198,0.6556832,1.8907274,0.64415646,1.2343627,1.249666
2009-04-17,338.3216,-0.08780748,-0.24844854,0.61229646,-1.7720639,-0.26713717,-0.75107026,0.3739151,-0.7274414,0.23074259,0.54833215
2009-04-20,248.37608,-0.5115219,-1.8312945,-1.2335346,-1.9763101,-0.5585841,-1.6018865,-1.6244415,-1.5044053,-2.6946902,-2.0415938
2009-04-21,684.0503,1.0031558,0.8180962,0.22447112,0.9619648,1.378918,0.8898855,-0.48550776,0.50314915,0.30432975,0.46670216
2009-04-22,643.2894,0.14815995,-0.56702876,-0.09450531,-0.58495367,-0.34516147,0.7515321,1.1625488,-0.18330285,1.000905,0.6433679
2009-04-23,393.61124,-0.6379571,0.4133392,1.1392317,0.37641004,0.6990168,-0.37106118,-0.75645393,0.51588756,-0.556051,0.5436746
2009-04-24,374.78757,-0.7741656,1.8925307,-0.5442178,5.8265104,0.23140258,0.20668763,1.2478869,0.5297644,0.7411539,2.9891934
2009-04-27,249.51006,-0.078657806,-0.15867437,0.23845606,-1.5756855,-0.047773674,-0.91074026,-1.0322447,1.711605,-0.4156898,-0.39268544
2009-04-28,379.8065,1.166517,0.671773,-0.3282699,-1.4274158,-0.06408121,-0.61592674,-0.8941,-0.93882805,-0.6238606,-0.61830443
2009-04-29,384.5846,1.2043926,1.2888118,0.3220891,0.8761305,-0.29631522,0.7547994,0.88943845,0.69906443,0.52094436,1.5822978
2009-04-30,253.87738,-0.49062517,0.13726561,0.18117632,-0.030547151,-0.5871208,1.0806153,1.6351144,-0.8403278,1.9524616,0.9308187
2009-05-01,275.91382,0.82447433,0.58267677,0.44059375,-0.12049732,-0.0029592365,0.049717385,-0.2887216,0.24339157,-0.14543203,0.19779505
2009-05-04,43.59352,0.96625596,-0.25582877,1.7748282,-0.22150825,-0.9132484,2.1357145,1.0164768,0.6110151,1.8697844,-1.1877146
2009-05-05,-194.48656,-0.2366751,0.3355073,0.14658362,-1.4045453,0.08814032,-0.9805051,-1.3702012,0.017481,-1.3109,0.37591648
2009-05-06,-83.05761,-0.4473272,-0.09847888,-0.16661552,-0.057254873,0.11477566,-0.14415415,1.1564367,0.12842287,0.93107474,-0.8685737
2009-05-07,-415.66736,-1.3251698,-1.9107189,-1.4285567,-1.6435688,-1.6678703,-0.9814328,-2.0189304,-1.569887,-2.9040232,-1.2776128
2009-05-08,-519.2398,-0.73925096,-0.6452009,-0.050319675,0.30438793,-0.28064603,-1.3562675,-0.81188124,-0.7068837,0.10009869,-0.3606145
2009-05-11,-726.91113,0.8401858,-0.3280482,0.037825573,-0.33369854,0.5741085,0.18291779,-0.14575356,-0.0032371695,-0.4032835,1.3643537
2009-05-12,-691.6283,0.60515803,0.27234235,-2.029862,1.7729946,-0.4760334,-0.47254166,-1.230118,-1.1521075,-0.8641232,-0.2628165
2009-05-13,-773.2384,-1.0734174,-1.7554625,-1.9505877,-0.43905202,-0.8052999,-0.2505601,0.6239577,-1.1860945,-1.7554104,-1.4808297
2009-05-14,-647.9265,-0.80461925,0.090039656,1.2819157,0.95255864,0.97112846,1.0879612,1.2576694,0.5135558,0.2214445,1.4409578
2009-05-15,-657.811,0.16508387,-0.4915669,-0.30917504,0.47288847,-0.1251811,-0.9926249,0.20734833,0.06437072,-1.3338876,0.010091735
2009-05-18,-393.9713,2.031341,2.3742995,1.6172619,1.205945,1.2765129,0.88027585,0.7090566,1.2334865,1.5486889,1.0407006
2009-05-19,-573.1217,0.5388729,0.41388586,0.2113887,-0.53333825,0.1017859,0.31562477,0.44626492,0.22326687,-0.0010733808,0.17327842
2009-05-20,-504.69037,-0.94635075,-0.8227919,-0.72847646,0.19189422,-0.09683169,-0.23071232,0.8161469,0.101032615,-0.64301854,-0.2743885
2009-05-21,-699.4499,-0.80012727,-1.355877,-0.7410381,-1.735437,-0.93729603,-1.1209521,-1.1803304,-1.0229634,-1.2573601,-0.54973197
2009-05-22,-459.18173,-0.63041884,-0.63218063,-0.7881739,-0.27079502,0.18585266,-0.40814972,1.4078319,-0.53953975,0.0763858,0.7715047
2009-05-26,-439.9823,1.9608327,1.7296844,3.2072425,1.9181485,1.051516,1.1654758,1.2658594,1.9349083,0.97121173,2.4889035
2009-05-27,-486.3535,-1.3519678,-0.81706965,0.7674436,-0.7175959,-0.22199723,-0.09504657,-0.08539325,-0.84399396,0.5284219,-1.0714941
2009-05-28,-534.84375,1.0708395,0.80028564,0.6535207,0.9935837,0.5247365,0.67081344,0.6981192,0.39438665,0.7744758,0.5338801
2009-05-29,-846.3351,0.9043061,-0.032238517,0.1438907,1.2213377,0.86340225,-0.030596424,0.27203736,0.48473632,-0.167522,1.0957896
2009-06-01,-865.49756,1.1768725,2.4412308,1.0295993,1.3753704,0.7309825,1.9398767,2.1838474,0.6347002,2.6459353,1.9315913
2009-06-02,-1149.1147,-0.8938178,0.26682547,-0.056467514,-0.0028237868,0.94984454,-0.75959605,-0.6336326,-0.5731774,-1.4700308,0.36717698
2009-06-03,-1067.3973,-0.23585768,-0.5611433,0.32472315,0.80564094,-0.05413573,-0.63650155,-0.1306949,-0.43443984,-0.7871693,-0.7928337
2009-06-04,-728.8191,-0.13558896,0.75633544,0.81727487,0.26002908,0.5818283,0.45862532,0.0334797,1.4947823,0.52348024,0.640649
2009-06-05,-907.35565,0.487696,0.4626702,0.18034099,0.78663915,0.19079812,-0.5580971,-0.95891297,-0.030668719,-1.9547423,0.86391926
2009-06-08,-865.78186,0.10388567,-0.005537456,-0.34609613,-0.24654488,0.32169446,-0.03001116,0.17137834,-0.15985523,-0.45649827,-1.2482846
2009-06-09,-758.8325,0.3426342,0.4919948,-0.4628823,0.06413974,0.23703976,1.2467346,2.8329496,0.4748308,0.5836672,0.98536175
2009-06-10,-845.3005,0.08019541,-0.3107166,-0.86951137,1.2088093,-0.5725515,0.068678886,-0.17026804,-0.09646277,-0.42061338,0.6472784
2009-06-11,-909.4625,0.5572632,0.3419441,-0.18847118,0.68659866,0.40640593,-0.29942858,-0.30154052,-0.212327,0.78057516,0.37485352
